fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
9.9,0.35,0.55,0.0,0.062,0.0,0.0,0.9971,3.26,0.79,10.6
7.8,0.56,0.19,0.0,0.104,0.0,1.0,0.9964,3.19,0.93,9.5
7.1,0.59,0.02,0.0,0.08199999999999999,2.0,3.0,0.99744,3.55,0.53,9.7
8.8,0.7,0.0,0.0,0.069,0.0,0.0,0.99701,3.31,0.53,10.0
7.0,0.43,0.3,0.0,0.085,0.0,1.0,0.99346,3.33,0.46,11.9
6.8,0.66,0.07,0.0,0.07,1.0,2.0,0.99572,3.29,0.6,9.3
7.2,0.52,0.07,0.0,0.07400000000000001,0.0,0.0,0.9973,3.32,0.81,9.6
8.3,0.34,0.4,0.0,0.065,2.0,1.0,0.99554,3.34,0.86,11.0
9.5,0.39,0.41,4.0,0.069,1.0,1.0,0.99859,3.29,0.81,10.9
6.2,0.7,0.15,2.0,0.076,1.0,0.0,0.99622,3.54,0.6,11.9
7.2,0.65,0.02,0.0,0.094,0.0,1.0,0.9993,3.67,0.8,9.7
11.5,0.3,0.6,0.0,0.067,0.0,0.0,0.9981,3.11,0.97,10.1
8.9,0.22,0.48,0.0,0.077,2.0,2.0,0.9968,3.39,0.53,9.4
6.5,0.34,0.27,1.0,0.067,0.0,1.0,0.99384,3.21,0.56,12.0
9.9,0.27,0.49,2.0,0.08199999999999999,0.0,0.0,0.99484,3.19,0.52,12.5
7.5,0.725,0.04,0.0,0.076,0.0,0.0,0.99508,3.26,0.53,9.6
7.5,0.38,0.57,0.0,0.106,0.0,0.0,0.99605,3.36,0.55,11.4
9.3,0.48,0.29,0.0,0.127,0.0,0.0,0.9968,3.22,0.72,11.2
7.1,0.46,0.2,0.0,0.077,2.0,2.0,0.9956,3.37,0.64,10.4
6.8,0.68,0.21,0.0,0.07,0.0,0.0,0.99546,3.38,0.6,10.3
5.2,0.34,0.0,0.0,0.05,2.0,2.0,0.9916,3.68,0.79,14.0
7.1,0.67,0.0,0.0,0.083,1.0,0.0,0.99768,3.44,0.54,9.4
7.9,0.6,0.06,0.0,0.069,1.0,2.0,0.9964,3.3,0.46,9.4
7.5,0.55,0.24,0.0,0.078,0.0,0.0,0.9983,3.45,0.78,9.5
5.0,1.02,0.04,0.0,0.045,3.0,3.0,0.9938,3.75,0.48,10.5
9.0,0.36,0.52,0.0,0.111,0.0,0.0,0.99568,3.31,0.62,11.3
9.6,0.68,0.24,0.0,0.087,0.0,0.0,0.9988,3.14,0.6,10.2
10.3,0.27,0.56,0.0,0.047,0.0,0.0,0.99471,3.16,0.51,11.8
7.8,0.43,0.32,1.0,0.08,2.0,2.0,0.9974,3.31,0.64,10.3
6.4,0.36,0.53,0.0,0.23,1.0,1.0,0.9934,3.37,0.93,12.4
7.4,0.39,0.48,0.0,0.08199999999999999,1.0,2.0,0.9972,3.34,0.55,9.2
9.3,0.61,0.26,1.0,0.09,2.0,3.0,0.99975,3.24,0.62,9.7
9.9,0.74,0.19,2.0,0.111,3.0,2.0,0.99878,3.14,0.55,9.4
8.8,0.55,0.04,0.0,0.119,1.0,2.0,0.9962,3.21,0.6,10.9
11.6,0.475,0.4,0.0,0.091,0.0,0.0,0.99704,3.07,0.65,10.0333333333333
7.3,0.67,0.02,0.0,0.07200000000000001,2.0,3.0,0.99566,3.32,0.68,11.1
8.1,0.78,0.23,1.0,0.059,0.0,0.0,0.997,3.37,0.56,11.3
6.5,0.51,0.15,1.0,0.064,0.0,0.0,0.9929,3.33,0.59,12.8
10.4,0.33,0.63,1.0,0.084,0.0,0.0,0.9998,3.26,0.74,11.2
6.4,0.64,0.21,0.0,0.081,1.0,1.0,0.99689,3.59,0.66,9.8
11.2,0.28,0.56,0.0,0.075,1.0,2.0,0.998,3.16,0.58,9.8
8.0,0.42,0.17,0.0,0.073,0.0,0.0,0.9972,3.29,0.61,9.2
6.9,0.74,0.03,0.0,0.054000000000000006,0.0,0.0,0.99508,3.45,0.63,11.5
8.9,0.745,0.18,1.0,0.077,1.0,1.0,0.99739,3.2,0.47,9.7
11.6,0.23,0.57,0.0,0.07400000000000001,0.0,0.0,0.9981,3.14,0.7,9.9
8.4,0.29,0.4,0.0,0.067,0.0,0.0,0.99603,3.39,0.6,10.5
9.6,0.54,0.42,0.0,0.081,2.0,2.0,0.997,3.2,0.71,11.4
6.9,0.685,0.0,1.0,0.105,1.0,1.0,0.9966,3.46,0.57,10.6
11.6,0.47,0.44,0.0,0.147,3.0,1.0,0.99836,3.38,0.86,9.9
7.0,0.69,0.07,1.0,0.091,1.0,0.0,0.99572,3.38,0.6,11.3
10.9,0.32,0.52,0.0,0.132,1.0,1.0,0.99734,3.28,0.77,11.5
6.8,0.785,0.0,0.0,0.104,1.0,0.0,0.9966,3.52,0.55,10.7
8.3,0.6,0.25,0.0,0.118,0.0,1.0,0.99616,3.15,0.53,9.8
9.1,0.4,0.57,2.0,0.08,0.0,0.0,0.99652,3.28,0.57,12.5
6.6,0.815,0.02,1.0,0.07200000000000001,1.0,1.0,0.9955,3.58,0.89,12.3
6.8,0.65,0.02,0.0,0.078,0.0,0.0,0.99498,3.35,0.62,10.4
9.3,0.36,0.39,0.0,0.08,3.0,2.0,0.99652,3.47,0.73,10.9
