fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
7.8,0.4,0.26,2.0,0.059,1.0,2.0,0.9955,3.04,0.43,10.9
6.1,0.15,0.29,1.0,0.046,1.0,2.0,0.99471,3.6,0.44,10.6
6.5,0.36,0.36,1.0,0.185,2.0,2.0,0.99528,3.17,0.42,9.3
6.3,0.25,0.23,3.0,0.039,2.0,1.0,0.99705,3.14,0.35,9.7
6.5,0.46,0.24,2.0,0.051,2.0,2.0,0.99588,3.08,0.56,9.8
6.4,0.5,0.2,0.0,0.059,0.0,1.0,0.99314,3.18,0.4,9.2
6.4,0.21,0.21,1.0,0.097,0.0,1.0,0.9939,3.07,0.46,9.6
7.6,0.3,0.38,0.0,0.043,0.0,0.0,0.99296,3.17,0.65,11.0
6.1,0.34,0.46,1.0,0.029,0.0,0.0,0.991,3.29,0.62,12.3
7.2,0.31,0.46,1.0,0.04,0.0,0.0,0.9906,3.04,0.53,12.5
7.4,0.23,0.25,0.0,0.049,2.0,1.0,0.9934,3.42,0.54,10.2
8.2,0.26,0.33,0.0,0.053,0.0,0.0,0.99402,2.89,0.49,9.5
7.0,0.31,0.29,0.0,0.037000000000000005,1.0,1.0,0.9896,3.12,0.36,12.2
6.6,0.38,0.36,1.0,0.061,2.0,3.0,0.9976,3.31,0.56,9.4
7.6,0.31,0.26,0.0,0.073,1.0,2.0,0.9938,3.1,0.46,9.8
7.2,0.25,0.28,2.0,0.055,2.0,3.0,0.9986,3.12,0.38,9.0
6.9,0.38,0.32,1.0,0.044,1.0,2.0,0.9932,3.38,0.35,12.0
6.8,0.19,0.34,0.0,0.04,1.0,1.0,0.99,3.25,0.45,12.9
6.3,0.16,0.4,0.0,0.033,3.0,2.0,0.9914,3.44,0.53,11.4
6.5,0.27,0.26,2.0,0.03,0.0,0.0,0.99402,3.07,0.36,11.2
6.4,0.17,0.34,0.0,0.091,2.0,1.0,0.9938,3.25,0.49,9.6
6.4,0.37,0.49,2.0,0.045,2.0,3.0,0.9982,3.14,0.48,8.5
6.2,0.21,0.26,2.0,0.05,3.0,2.0,0.99772,3.31,0.46,9.0
6.6,0.24,0.22,2.0,0.051,1.0,2.0,0.99676,3.1,0.67,9.4
7.4,0.33,0.26,0.0,0.04,1.0,1.0,0.9913,3.07,0.52,11.8
7.3,0.17,0.24,1.0,0.121,1.0,2.0,0.99508,3.17,0.38,10.4
7.7,0.26,0.34,1.0,0.05,1.0,2.0,0.9937,3.19,0.7,11.5
6.3,0.2,0.26,1.0,0.04,4.0,2.0,0.99278,3.07,0.75,10.7
7.2,0.26,0.32,2.0,0.062,0.0,1.0,0.9966,3.23,0.49,10.5
5.9,0.4,0.32,1.0,0.034,2.0,1.0,0.992,3.51,0.58,12.5
7.4,0.34,0.3,3.0,0.037000000000000005,3.0,2.0,0.99698,3.25,0.37,10.4
6.9,0.29,0.4,3.0,0.043,1.0,2.0,0.9996,2.93,0.47,8.9
7.3,0.25,0.36,0.0,0.034,1.0,2.0,0.99085,3.25,0.4,11.9
6.2,0.2,0.25,3.0,0.055,0.0,1.0,0.99767,3.19,0.53,9.6
6.0,0.25,0.28,1.0,0.053,1.0,1.0,0.99489,3.06,0.5,9.4
6.0,0.24,0.41,0.0,0.036000000000000004,2.0,1.0,0.99018,3.04,0.64,11.75
7.6,0.13,0.34,1.0,0.062,1.0,1.0,0.9966,3.21,0.39,9.6
5.2,0.5,0.18,0.0,0.036000000000000004,0.0,1.0,0.98949,3.36,0.77,13.4
4.2,0.215,0.23,1.0,0.041,3.0,2.0,0.99688,3.42,0.44,8.0
5.9,0.2,0.23,0.0,0.037000000000000005,1.0,0.0,0.99021,3.36,0.49,12.0
8.7,0.23,0.32,2.0,0.044,1.0,2.0,0.99975,3.12,0.47,8.8
8.4,0.23,0.32,0.0,0.048,3.0,1.0,0.99178,3.1,0.55,11.0
7.3,0.26,0.31,0.0,0.04,1.0,2.0,0.9918,3.19,0.51,11.4
5.4,0.46,0.15,0.0,0.026,1.0,1.0,0.98953,3.39,0.77,13.4
5.7,0.39,0.25,1.0,0.033,2.0,1.0,0.98966,3.26,0.58,13.1
7.1,0.28,0.19,1.0,0.04,2.0,2.0,0.99579,3.16,0.5,9.4
8.3,0.24,0.27,0.0,0.03,0.0,2.0,0.9914,2.99,0.68,11.9
6.5,0.26,0.34,3.0,0.051,2.0,3.0,1.0004,3.49,0.42,9.8
6.4,0.22,0.34,0.0,0.023,2.0,1.0,0.98958,3.18,0.7,11.7
7.2,0.615,0.1,0.0,0.068,0.0,2.0,0.99499,3.2,0.48,9.7
8.0,0.25,0.13,3.0,0.036000000000000004,2.0,3.0,0.9996,2.96,0.46,9.7
6.8,0.21,0.36,3.0,0.046,1.0,1.0,1.0,3.27,0.48,8.8
7.6,0.18,0.36,0.0,0.049,1.0,1.0,0.996,3.6,0.46,10.3
7.4,0.19,0.3,0.0,0.057,1.0,1.0,0.993,3.12,0.5,9.6
6.2,0.31,0.23,0.0,0.052000000000000005,1.0,1.0,0.99429,3.16,0.48,8.4
7.8,0.29,0.33,1.0,0.035,1.0,2.0,0.9962,3.11,0.46,10.7
8.2,0.31,0.43,1.0,0.047,0.0,0.0,0.99628,3.23,0.64,10.6
6.2,0.16,0.54,0.0,0.126,1.0,1.0,0.9932,3.23,0.37,8.9
8.6,0.18,0.28,0.0,0.032,0.0,0.0,0.99104,2.99,0.38,11.1
7.1,0.3,0.49,0.0,0.045,1.0,0.0,0.9942,3.4,0.59,10.2
7.0,0.27,0.74,0.0,0.173,1.0,1.0,0.99334,3.04,0.46,9.2
7.6,0.2,0.34,0.0,0.041,2.0,2.0,0.99335,3.35,0.66,11.1
6.4,0.34,0.2,3.0,0.06,1.0,2.0,0.9983,3.13,0.45,9.0
6.6,0.18,0.26,3.0,0.051,0.0,2.0,0.9984,3.0,0.43,9.4
6.1,0.27,0.31,0.0,0.034,2.0,1.0,0.99218,3.24,0.46,10.9
6.6,0.56,0.22,1.0,0.034,1.0,1.0,0.99675,3.2,0.51,9.1
7.6,0.2,0.68,2.0,0.042,2.0,2.0,0.99841,3.05,0.41,8.7
6.3,0.255,0.37,0.0,0.04,1.0,1.0,0.9905,3.0,0.39,10.9
7.4,0.16,0.27,3.0,0.05,0.0,1.0,0.9984,2.9,0.43,8.7
6.6,0.19,0.43,2.0,0.045,2.0,2.0,0.99752,3.52,0.77,10.4
8.6,0.2,0.42,0.0,0.041,1.0,1.0,0.9925,3.11,0.49,11.4
6.8,0.22,0.35,1.0,0.043,0.0,1.0,0.9938,3.3,0.53,10.7
7.1,0.44,0.37,0.0,0.041,1.0,1.0,0.9896,3.07,0.43,13.5
7.4,0.44,0.2,2.0,0.049,2.0,2.0,0.998,3.27,0.44,9.0
8.4,0.29,0.29,0.0,0.032,0.0,0.0,0.9908,2.91,0.32,11.4
7.8,0.21,0.34,2.0,0.039,2.0,1.0,0.9959,3.02,0.31,10.3
8.4,0.35,0.56,2.0,0.048,2.0,3.0,0.9993,3.07,0.58,9.4
6.1,0.27,0.31,0.0,0.035,0.0,0.0,0.99076,3.32,0.44,11.1
6.4,0.17,0.32,0.0,0.048,1.0,3.0,0.9938,3.5,0.5,9.7
7.4,0.18,0.29,0.0,0.042,1.0,0.0,0.99384,3.54,0.6,10.5
6.9,0.28,0.33,0.0,0.039,0.0,0.0,0.9904,3.07,0.39,11.7
7.3,0.26,0.33,3.0,0.049,2.0,3.0,1.0,3.06,0.44,9.1
7.5,0.28,0.78,2.0,0.041,2.0,2.0,0.99838,2.98,0.44,8.7
7.9,0.41,0.37,1.0,0.03,1.0,1.0,0.992,3.17,0.54,12.4
6.9,0.29,0.4,3.0,0.043,1.0,2.0,0.9996,2.93,0.47,8.9
6.3,0.2,0.19,2.0,0.048,2.0,2.0,0.99668,3.16,0.42,9.3
5.8,0.36,0.5,0.0,0.127,3.0,2.0,0.99212,3.1,0.45,9.7
6.4,0.26,0.21,1.0,0.05,2.0,2.0,0.99542,3.23,0.48,9.5
7.0,0.22,0.33,0.0,0.052000000000000005,0.0,0.0,0.993,3.2,0.41,10.6
7.4,0.18,0.36,2.0,0.056,3.0,2.0,1.0,3.42,0.35,9.1
6.3,0.2,0.26,0.0,0.027000000000000003,1.0,1.0,0.99268,3.53,0.56,10.8
6.0,0.21,0.38,0.0,0.02,0.0,0.0,0.98941,3.26,0.32,11.8
6.8,0.35,0.53,2.0,0.053,1.0,2.0,0.9963,3.07,0.4,9.4
5.8,0.15,0.49,0.0,0.048,0.0,0.0,0.9929,3.19,0.48,9.2
5.6,0.185,0.49,0.0,0.03,1.0,1.0,0.9918,3.55,0.45,10.3
6.4,0.32,0.5,2.0,0.047,3.0,3.0,0.9968,3.08,0.6,9.4
9.0,0.3,0.49,1.0,0.039,1.0,0.0,0.9938,2.94,0.32,11.5
7.3,0.25,0.39,1.0,0.034,0.0,0.0,0.9942,3.18,0.46,11.5
6.7,0.24,0.32,1.0,0.023,0.0,1.0,0.99262,3.34,0.35,12.6
8.0,0.2,0.3,1.0,0.037000000000000005,2.0,1.0,0.99379,3.1,0.67,11.8
6.2,0.21,0.27,0.0,0.038,1.0,2.0,0.9933,3.49,0.71,10.5
6.8,0.28,0.36,1.0,0.043,3.0,3.0,0.99556,3.16,0.49,9.6
6.7,0.24,0.33,2.0,0.046,1.0,2.0,0.9983,3.36,0.4,9.5
6.9,0.2,0.37,1.0,0.027000000000000003,0.0,0.0,0.992,3.38,0.49,12.2
7.9,0.37,0.31,0.0,0.037000000000000005,0.0,0.0,0.9911,3.19,0.36,11.9
7.0,0.22,0.31,0.0,0.03,1.0,1.0,0.9898,3.16,0.37,12.7
6.3,0.33,0.2,3.0,0.066,1.0,2.0,0.9991,3.14,0.51,8.8
6.6,0.32,0.26,1.0,0.054000000000000006,2.0,3.0,0.9961,3.17,0.45,8.8
8.6,0.33,0.34,2.0,0.059,2.0,3.0,0.99882,3.17,0.52,10.0
6.0,0.27,0.15,0.0,0.056,1.0,1.0,0.9936,3.12,0.45,8.8
6.8,0.35,0.32,0.0,0.048,1.0,0.0,0.9911,3.28,0.46,12.0
6.6,0.23,0.32,0.0,0.041,0.0,0.0,0.98949,3.22,0.39,12.7
7.5,0.19,0.49,0.0,0.047,2.0,1.0,0.9932,3.4,0.47,10.7
6.9,0.26,0.33,2.0,0.051,3.0,2.0,0.998,3.39,0.38,9.9
6.7,0.19,0.36,0.0,0.026,3.0,1.0,0.9912,3.27,0.48,11.0
6.4,0.32,0.25,1.0,0.055,1.0,1.0,0.99171,3.27,0.5,12.4
6.4,0.23,0.37,1.0,0.05,3.0,2.0,0.99488,2.86,0.49,9.3
6.2,0.25,0.48,2.0,0.044,3.0,3.0,0.99655,3.25,0.47,9.5
6.2,0.23,0.38,0.0,0.044,0.0,1.0,0.99176,3.3,0.73,11.4
10.7,0.22,0.56,1.0,0.044,1.0,2.0,0.998,2.87,0.68,9.5
3.9,0.225,0.4,0.0,0.03,1.0,1.0,0.989,3.57,0.36,12.8
6.6,0.25,0.35,2.0,0.069,2.0,2.0,0.999,3.56,0.47,9.8
7.7,0.18,0.53,0.0,0.041,2.0,2.0,0.9908,3.11,0.44,11.9
6.6,0.21,0.29,0.0,0.026,1.0,1.0,0.99183,3.37,0.48,11.2
6.3,0.43,0.32,1.0,0.042,0.0,1.0,0.99172,3.28,0.33,12.9
5.8,0.555,0.26,1.0,0.053,0.0,1.0,0.9943,3.24,0.46,9.1
6.7,0.24,0.29,1.0,0.038,2.0,1.0,0.9932,3.33,0.46,11.6
6.3,0.18,0.22,1.0,0.047,2.0,2.0,0.99383,3.09,0.54,10.0
6.3,0.28,0.3,0.0,0.039,0.0,1.0,0.9942,3.05,0.43,8.6
5.7,0.28,0.24,3.0,0.044,3.0,2.0,0.9989,3.31,0.44,9.4
7.6,0.51,0.24,0.0,0.04,0.0,1.0,0.992,3.05,0.29,10.8
6.5,0.41,0.24,2.0,0.048,0.0,1.0,0.9982,3.44,0.53,9.8
6.3,0.19,0.29,1.0,0.042,2.0,3.0,0.99304,3.19,0.47,10.3
6.8,0.32,0.32,1.0,0.029,1.0,1.0,0.99146,3.0,0.34,12.3
7.1,0.12,0.3,0.0,0.018000000000000002,0.0,0.0,0.99004,3.02,0.52,11.9
7.7,0.26,0.31,0.0,0.043,2.0,2.0,0.9937,3.42,0.5,10.1
5.3,0.6,0.34,0.0,0.031,0.0,0.0,0.98854,3.27,0.38,13.0
7.4,0.18,0.24,0.0,0.047,0.0,1.0,0.99383,3.52,0.64,10.5
7.3,0.18,0.31,3.0,0.055,1.0,3.0,1.0002,3.13,0.46,9.0
6.5,0.2,0.31,0.0,0.033,1.0,0.0,0.989435,2.96,0.61,12.0
