fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
7.8,0.24,0.32,3.0,0.054000000000000006,1.0,1.0,0.9984,3.01,0.54,8.8
7.6,0.47,0.49,3.0,0.239,1.0,3.0,0.9988,2.96,0.51,9.2
7.5,0.4,1.0,4.0,0.041,1.0,2.0,0.9977,3.24,0.38,12.0
7.5,0.34,0.28,1.0,0.028,1.0,0.0,0.98958,3.2,0.5,13.2
6.4,0.34,0.23,1.0,0.039,1.0,1.0,0.9944,3.19,0.65,10.0
6.4,0.3,0.27,1.0,0.058,0.0,2.0,0.99198,3.22,0.49,12.2
7.1,0.3,0.36,1.0,0.055,1.0,3.0,0.9972,3.49,0.64,10.2
6.8,0.14,0.18,0.0,0.047,1.0,0.0,0.99164,3.27,0.54,11.2
7.4,0.35,0.31,4.0,0.062,1.0,3.0,1.0002,3.27,0.64,9.1
6.3,0.33,0.42,4.0,0.037000000000000005,2.0,2.0,0.99884,3.26,0.57,9.4
7.3,0.19,0.68,0.0,0.05,1.0,2.0,0.9946,3.32,0.64,9.4
6.2,0.21,0.29,0.0,0.039,0.0,0.0,0.99114,3.27,0.5,11.2
7.0,0.22,0.26,0.0,0.037000000000000005,0.0,0.0,0.9902,3.1,0.38,11.7
7.1,0.36,0.56,0.0,0.046,0.0,0.0,0.9923,3.24,0.33,10.5
6.9,0.36,0.35,2.0,0.038,1.0,1.0,0.9916,3.0,0.32,12.4
5.6,0.26,0.0,2.0,0.038,0.0,1.0,0.99315,3.44,0.46,12.4
6.2,0.36,0.14,2.0,0.036000000000000004,1.0,2.0,0.99622,3.27,0.5,9.4
6.4,0.24,0.29,0.0,0.038,0.0,1.0,0.9906,3.3,0.42,11.5
7.1,0.26,0.49,0.0,0.032,1.0,1.0,0.9903,3.37,0.42,12.9
8.3,0.28,0.45,2.0,0.059,1.0,1.0,0.9972,3.33,0.77,11.2
5.8,0.28,0.3,0.0,0.026,1.0,1.0,0.98952,3.32,0.6,12.5
7.0,0.2,0.34,0.0,0.049,0.0,1.0,0.9922,3.25,0.46,11.6
6.5,0.31,0.14,2.0,0.044,1.0,1.0,0.9955,3.22,0.5,9.5
6.8,0.19,0.32,2.0,0.049,1.0,1.0,0.99332,3.12,0.44,10.7
7.4,0.28,0.36,0.0,0.028,1.0,0.0,0.9893,2.99,0.39,12.4
8.7,0.31,0.73,3.0,0.044,0.0,3.0,1.00013,2.96,0.88,8.7
6.2,0.23,0.36,4.0,0.039,1.0,1.0,0.99946,3.23,0.43,8.8
6.8,0.26,0.42,0.0,0.049,1.0,1.0,0.993,3.47,0.48,10.5
8.9,0.3,0.35,1.0,0.032,1.0,2.0,0.99458,3.15,0.45,11.5
7.5,0.25,0.47,1.0,0.041,2.0,2.0,0.99184,2.92,0.59,11.3
5.9,0.24,0.34,0.0,0.037000000000000005,1.0,1.0,0.98948,3.19,0.5,12.3
6.9,0.22,0.31,1.0,0.029,1.0,1.0,0.99326,3.08,0.49,10.8
7.5,0.305,0.38,0.0,0.047,1.0,0.0,0.99158,3.22,0.52,11.5
6.7,0.18,0.28,2.0,0.039,0.0,1.0,0.99469,3.11,0.45,10.9
7.2,0.24,0.27,0.0,0.038,1.0,1.0,0.9927,3.15,0.46,10.3
6.0,0.17,0.49,0.0,0.034,0.0,1.0,0.992,3.21,0.42,9.8
6.2,0.27,0.47,0.0,0.146,0.0,0.0,0.99224,3.23,0.51,10.1
6.8,0.22,0.24,1.0,0.092,1.0,1.0,0.9951,3.03,0.46,8.6
6.9,0.38,0.28,2.0,0.062,0.0,2.0,0.99506,3.16,0.72,10.6
4.8,0.17,0.28,0.0,0.03,0.0,1.0,0.9902,3.38,0.34,11.3
7.2,0.39,0.62,3.0,0.047,2.0,2.0,0.9976,3.16,0.5,8.7
6.0,0.67,0.07,0.0,0.06,0.0,1.0,0.9931,3.11,0.35,8.7
6.5,0.33,0.38,0.0,0.047,1.0,2.0,0.98964,3.17,0.43,12.7
6.9,0.3,0.21,2.0,0.045,2.0,3.0,0.99595,3.22,0.48,9.4
7.3,0.26,0.33,4.0,0.049,1.0,3.0,1.0,3.06,0.44,9.1
5.7,0.26,0.27,1.0,0.201,2.0,3.0,0.9942,3.27,0.38,9.4
6.7,0.25,0.23,2.0,0.038,2.0,3.0,0.9952,3.14,0.35,9.5
7.2,0.26,0.74,3.0,0.05,2.0,2.0,0.998,3.03,0.44,8.8
7.3,0.22,0.31,0.0,0.018000000000000002,1.0,0.0,0.98936,3.06,0.34,12.9
5.2,0.22,0.46,1.0,0.066,1.0,3.0,0.99362,3.19,0.42,9.73333333333333
6.8,0.32,0.33,0.0,0.027000000000000003,0.0,0.0,0.9899,3.11,0.31,11.8
5.7,0.22,0.22,4.0,0.044,1.0,1.0,0.99855,3.24,0.48,9.0
6.4,0.105,0.29,0.0,0.035,1.0,1.0,0.99142,3.17,0.55,10.7
6.4,0.14,0.28,2.0,0.057,0.0,0.0,0.99425,3.26,0.36,10.0
6.8,0.27,0.3,3.0,0.047,2.0,2.0,0.99705,3.16,0.5,9.6
7.5,0.24,0.31,3.0,0.05,0.0,2.0,0.99884,3.05,0.53,9.1
6.6,0.17,0.36,0.0,0.036000000000000004,1.0,1.0,0.99056,3.05,0.54,11.4
7.3,0.28,0.43,0.0,0.08,0.0,1.0,0.9905,3.19,0.42,12.8
7.0,0.16,0.32,2.0,0.045,1.0,1.0,0.9958,3.21,0.34,9.2
6.7,0.54,0.27,1.0,0.049,0.0,2.0,0.99502,3.16,0.38,9.4
7.6,0.48,0.28,2.0,0.049,2.0,3.0,0.99748,3.24,0.45,9.3
7.0,0.25,0.56,0.0,0.035,0.0,0.0,0.9918,3.23,0.53,11.0
5.2,0.155,0.33,0.0,0.028,0.0,0.0,0.98975,3.3,0.84,11.9
7.0,0.26,0.59,0.0,0.037000000000000005,1.0,1.0,0.9918,3.34,0.41,11.1
5.3,0.3,0.2,0.0,0.077,1.0,2.0,0.9944,3.3,0.54,8.7
6.9,0.25,0.33,0.0,0.035,1.0,2.0,0.99082,3.02,0.58,11.3
6.6,0.39,0.22,1.0,0.038,0.0,0.0,0.99018,3.25,0.53,13.0
8.2,0.32,0.26,0.0,0.062,0.0,0.0,0.98974,3.1,0.47,12.8
5.3,0.31,0.38,2.0,0.031,2.0,1.0,0.99321,3.34,0.46,11.7
7.1,0.145,0.33,1.0,0.05,1.0,1.0,0.9942,3.28,0.4,9.6
8.5,0.17,0.49,2.0,0.048,0.0,1.0,0.9947,2.88,0.34,10.5
8.0,0.18,0.49,0.0,0.061,0.0,2.0,0.9942,3.23,0.48,10.0
6.4,0.18,0.32,2.0,0.052000000000000005,0.0,0.0,0.9963,3.35,0.49,9.4
8.3,0.16,0.48,0.0,0.057,1.0,0.0,0.9943,3.15,0.41,10.3
6.8,0.29,0.5,3.0,0.053,1.0,3.0,0.9974,3.09,0.45,9.4
7.8,0.28,0.49,0.0,0.046,0.0,1.0,0.9936,3.09,0.59,10.2
5.5,0.24,0.45,0.0,0.046,0.0,1.0,0.99224,3.22,0.48,10.0
6.5,0.41,0.64,3.0,0.065,2.0,3.0,0.9978,3.12,0.51,8.9
6.0,0.495,0.27,1.0,0.157,0.0,1.0,0.99396,3.03,0.36,9.3
7.5,0.34,0.24,1.0,0.031,0.0,0.0,0.99098,3.01,0.36,11.8
7.5,0.17,0.37,0.0,0.06,0.0,0.0,0.9936,3.54,0.88,10.7
6.9,0.24,0.37,1.0,0.027000000000000003,1.0,1.0,0.99086,3.19,0.34,12.4
6.8,0.27,0.28,3.0,0.076,1.0,2.0,0.9979,3.03,0.38,8.6
6.4,0.24,0.32,3.0,0.047,2.0,2.0,0.9968,3.28,0.5,10.2
7.2,0.13,0.46,0.0,0.044,1.0,1.0,0.99127,2.97,0.45,11.1
6.3,0.27,0.37,2.0,0.047,2.0,3.0,0.99542,3.19,0.48,9.5
7.3,0.24,0.3,0.0,0.042,1.0,0.0,0.9911,3.05,0.56,11.3
7.1,0.18,0.26,0.0,0.041,0.0,0.0,0.9926,3.04,0.74,9.9
7.8,0.25,0.28,2.0,0.04,1.0,2.0,0.99541,3.14,0.6,10.1
7.1,0.39,0.39,3.0,0.034,0.0,3.0,0.99616,3.05,0.52,10.0
7.2,0.23,0.32,2.0,0.058,1.0,2.0,0.9956,3.19,0.4,9.9
6.4,0.27,0.19,0.0,0.084,0.0,3.0,0.99516,3.49,0.63,9.6
5.6,0.35,0.14,1.0,0.046,1.0,3.0,0.9937,3.3,0.71,10.3
6.7,0.26,0.26,1.0,0.079,1.0,3.0,0.9956,3.31,0.68,9.5
5.8,0.28,0.3,1.0,0.026,1.0,0.0,0.98963,3.26,0.58,12.75
9.8,0.16,0.46,0.0,0.046,0.0,1.0,0.99587,3.04,0.67,9.6
6.7,0.37,0.41,1.0,0.061,0.0,2.0,0.9953,3.16,0.47,9.6
6.9,0.38,0.38,3.0,0.112,0.0,0.0,0.99792,3.02,0.48,9.2
6.8,0.32,0.3,0.0,0.029,0.0,0.0,0.99061,3.33,0.63,12.6
6.3,0.39,0.22,0.0,0.048,2.0,2.0,0.99304,3.24,0.45,9.8
6.2,0.36,0.32,1.0,0.036000000000000004,1.0,0.0,0.98936,3.2,0.5,13.3
7.2,0.25,0.39,4.0,0.038,1.0,2.0,0.9999,2.97,0.47,9.0
6.0,0.26,0.18,1.0,0.055,1.0,3.0,0.99591,3.21,0.43,9.0
7.6,0.3,0.37,0.0,0.087,0.0,2.0,0.99438,3.09,0.5,9.8
6.1,0.255,0.44,3.0,0.045,2.0,3.0,0.9967,3.24,0.54,9.5
6.9,0.35,0.39,0.0,0.048,0.0,2.0,0.99133,3.2,0.54,11.1
6.0,0.26,0.33,1.0,0.04,0.0,0.0,0.98934,3.29,0.5,12.7
6.2,0.25,0.25,0.0,0.03,1.0,0.0,0.9912,3.3,0.44,11.1
5.8,0.32,0.38,1.0,0.033,0.0,0.0,0.991,3.42,0.42,11.8
5.9,0.35,0.47,0.0,0.11,0.0,1.0,0.9932,3.09,0.5,9.1
8.8,0.27,0.25,1.0,0.024,2.0,0.0,0.9925,2.87,0.49,11.4
6.7,0.26,0.29,1.0,0.025,0.0,0.0,0.9929,3.28,0.53,11.0
5.8,0.29,0.15,0.0,0.029,0.0,0.0,0.9898,3.3,0.4,11.4
6.8,0.28,0.17,3.0,0.047,1.0,2.0,0.9983,3.21,0.51,9.0
6.3,0.23,0.49,1.0,0.05,2.0,3.0,0.9951,3.23,0.34,9.5
7.1,0.28,0.35,0.0,0.028,1.0,0.0,0.99022,2.96,0.33,12.1
7.1,0.4,0.52,0.0,0.14800000000000002,1.0,2.0,0.99468,3.08,0.56,8.7
6.9,0.24,0.36,4.0,0.031,1.0,1.0,0.9975,3.2,0.33,11.0
6.5,0.25,0.27,4.0,0.064,0.0,1.0,0.99776,3.2,0.49,10.1
6.4,0.18,0.48,4.0,0.054000000000000006,2.0,2.0,1.0003799999999998,2.98,0.61,8.5
7.0,0.21,0.34,2.0,0.033,1.0,3.0,0.9953,3.22,0.56,10.5
7.0,0.28,0.39,2.0,0.051,1.0,1.0,0.9961,3.38,0.53,10.5
6.4,0.29,0.21,2.0,0.041,1.0,1.0,0.99334,2.99,0.34,10.933333333333302
7.0,0.4,0.25,0.0,0.05,2.0,3.0,0.99174,3.0,0.55,11.4
7.1,0.37,0.32,0.0,0.037000000000000005,0.0,1.0,0.9918,3.19,0.62,12.0
6.6,0.27,0.41,0.0,0.052000000000000005,0.0,1.0,0.9951,3.42,0.47,10.0
5.0,0.33,0.16,0.0,0.049,0.0,0.0,0.9917,3.48,0.44,10.7
8.3,0.49,0.23,1.0,0.034,0.0,2.0,0.99344,3.05,0.48,11.2
6.0,0.33,0.27,0.0,0.185,0.0,3.0,0.9924,3.12,0.62,9.4
6.1,0.25,0.28,2.0,0.055,2.0,1.0,0.994,3.22,0.35,10.9
7.8,0.27,0.28,0.0,0.05,0.0,1.0,0.9934,3.15,0.44,9.9
6.0,0.25,0.28,2.0,0.053,1.0,1.0,0.99489,3.06,0.5,9.4
7.7,0.39,0.49,2.0,0.036000000000000004,0.0,1.0,0.9966,3.33,0.76,10.0
6.8,0.2,0.38,1.0,0.04,0.0,0.0,0.994,3.37,0.58,10.7
5.4,0.53,0.16,0.0,0.036000000000000004,1.0,1.0,0.98856,3.2,0.53,13.2
5.4,0.5,0.13,1.0,0.028,0.0,1.0,0.99079,3.48,0.88,13.5
6.5,0.23,0.36,4.0,0.038,1.0,1.0,0.99924,3.26,0.41,8.8
5.8,0.28,0.3,1.0,0.026,1.0,0.0,0.98963,3.26,0.58,12.75
6.4,0.37,0.2,1.0,0.117,2.0,2.0,0.99459,3.24,0.43,9.5
7.6,0.37,0.34,0.0,0.028,1.0,2.0,0.9903,3.01,0.33,12.4
6.5,0.35,0.36,0.0,0.034,1.0,1.0,0.98942,3.11,0.5,12.1
7.4,0.25,0.36,3.0,0.067,2.0,2.0,0.9976,3.01,0.48,9.0
6.1,0.34,0.31,3.0,0.053,1.0,3.0,0.9977,3.16,0.48,8.6
8.3,0.27,0.45,0.0,0.048,0.0,0.0,0.9944,3.08,0.61,10.3
